query,intent,department,priority,sentiment
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,High,Negative
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,High,Negative
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Medium,Positive
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
The fee receipt is not downloadable from the portal.,Finance,Finance Department,High,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Medium,Positive
What are the accepted modes of fee payment?,Finance,Finance Department,Low,Neutral
"My refund was processed within 27 working days, thank you.",Finance,Finance Department,Low,Positive
Revaluation result is pending for over 26 months.,Examination,Examination Department,High,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
"I received my ID card within 15 days, thank you.",General,Help Desk,Medium,Positive
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,Medium,Negative
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Medium,Positive
I received my offer letter within 7 days of the interview.,Placement,Placement Cell,Low,Positive
My ID card has not been issued even after 25 weeks of joining.,General,Help Desk,High,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
Is off-campus placement assistance provided?,Placement,Placement Cell,Medium,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
My seat allotment was updated within 26 hours as promised.,Admission,Admission Department,Low,Positive
How do I get a duplicate ID card?,General,Help Desk,Low,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,Medium,Negative
Admission office is not responding to my emails for 22 days.,Admission,Admission Department,High,Negative
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
I was marked absent in the exam even though I was present.,Examination,Examination Department,Medium,Negative
There has been no water supply in the hostel for 6 days.,Hostel,Hostel Department,Medium,Negative
My fee refund has not been processed even after 13 months.,Finance,Finance Department,Medium,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
What is the process for NRI admission?,Admission,Admission Department,Medium,Neutral
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,Medium,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
My scholarship application has been pending for 24 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Low,Neutral
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
How long does it take to resolve a grievance?,Complaint,Student Affairs,Low,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,High,Negative
There has been no water supply in the hostel for 4 days.,Hostel,Hostel Department,Medium,Negative
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,Medium,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,High,Negative
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
Admission office is not responding to my emails for 23 days.,Admission,Admission Department,Medium,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
I have not received my offer letter even after 2 months of selection.,Placement,Placement Cell,High,Negative
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Low,Neutral
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Low,Neutral
Is there an EMI option available for fee payment?,Finance,Finance Department,Medium,Neutral
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Low,Neutral
How do I access the university Wi-Fi?,General,Help Desk,Low,Neutral
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
My fee refund has not been processed even after 29 months.,Finance,Finance Department,High,Negative
My transaction failed but the amount was debited from my account.,Finance,Finance Department,Medium,Negative
I was marked absent in the exam even though I was present.,Examination,Examination Department,High,Negative
My fee refund has not been processed even after 4 months.,Finance,Finance Department,High,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
The placement cell has not updated the company list for this year.,Placement,Placement Cell,Medium,Negative
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,Medium,Negative
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,High,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,Medium,Negative
My fee refund has not been processed even after 10 months.,Finance,Finance Department,Medium,Negative
How long does it take to resolve a grievance?,Complaint,Student Affairs,Low,Neutral
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,Medium,Negative
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Low,Positive
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,Medium,Negative
I paid the fee online but the portal still shows dues pending.,Finance,Finance Department,Medium,Negative
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,Medium,Negative
My seat allotment was updated within 3 hours as promised.,Admission,Admission Department,Low,Positive
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
Which companies visited last year?,Placement,Placement Cell,Medium,Neutral
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
My internal marks have not been updated for 12 subjects.,Examination,Examination Department,Medium,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
The challan generated has incorrect details.,Finance,Finance Department,High,Negative
What is the process for NRI admission?,Admission,Admission Department,Low,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
My seat allotment was updated within 19 hours as promised.,Admission,Admission Department,Medium,Positive
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
Where is the medical centre located on campus?,General,Help Desk,Low,Neutral
My admission application has been pending for 5 weeks with no update.,Admission,Admission Department,High,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,Medium,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Low,Neutral
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,Medium,Negative
Is direct admission available for lateral entry students?,Admission,Admission Department,Low,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,High,Negative
When is the scholarship application portal open?,Scholarship,Scholarship Cell,Medium,Neutral
My email ID was not created even after 23 weeks of registration.,General,Help Desk,Medium,Negative
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,High,Negative
My application was rejected without any reason given.,Admission,Admission Department,High,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Low,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
My admission application has been pending for 6 weeks with no update.,Admission,Admission Department,High,Negative
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,Medium,Negative
What is the last date for admission form submission?,Admission,Admission Department,Low,Neutral
There has been no water supply in the hostel for 9 days.,Hostel,Hostel Department,High,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
The university website has been down for 6 days.,General,Help Desk,Medium,Negative
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
When will campus placements begin this year?,Placement,Placement Cell,Low,Neutral
The placement cell has not updated the company list for this year.,Placement,Placement Cell,Medium,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
The company I was placed in has deferred joining by 3 months.,Placement,Placement Cell,High,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Low,Neutral
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Low,Neutral
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Low,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Medium,Positive
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Medium,Positive
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,Medium,Negative
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
When does hostel allotment happen for new students?,Hostel,Hostel Department,Low,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
The student affairs office handled my case professionally.,Complaint,Student Affairs,Low,Positive
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
What are the library timings on weekends?,General,Help Desk,Medium,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
There is a case of ragging in my hostel block.,Complaint,Student Affairs,High,Negative
The examination fee was deducted but the form was not submitted.,Examination,Examination Department,High,Negative
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,Medium,Negative
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
Staff at the help desk were very cooperative.,General,Help Desk,Medium,Positive
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,Medium,Negative
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
I could not find my roll number on the examination portal.,Examination,Examination Department,High,Negative
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Low,Neutral
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,Medium,Negative
The university website has been down for 6 days.,General,Help Desk,High,Negative
My grievance has been ignored by the department for 26 weeks.,Complaint,Student Affairs,Medium,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Low,Neutral
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Low,Neutral
When will the second merit list be published?,Admission,Admission Department,Low,Neutral
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
What action is taken against proven ragging cases?,Complaint,Student Affairs,Low,Neutral
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
Is there an anonymous complaint submission option?,Complaint,Student Affairs,Low,Neutral
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
The placement portal login is not working for me.,Placement,Placement Cell,Medium,Negative
The finance staff resolved my billing error quickly.,Finance,Finance Department,Medium,Positive
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,Medium,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
The student affairs office handled my case professionally.,Complaint,Student Affairs,Medium,Positive
My scholarship application has been pending for 19 months with no update.,Scholarship,Scholarship Cell,High,Negative
What is the process for obtaining a migration certificate?,General,Help Desk,Medium,Neutral
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Low,Positive
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
I reported a maintenance issue 12 weeks ago but it is still unresolved.,Hostel,Hostel Department,High,Negative
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Low,Positive
What action is taken against proven ragging cases?,Complaint,Student Affairs,Low,Neutral
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,Medium,Negative
My seat allotment was updated within 10 hours as promised.,Admission,Admission Department,Low,Positive
My merit list position was not updated even after re-verification.,Admission,Admission Department,High,Negative
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,Medium,Negative
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The help desk is not responding to my queries.,General,Help Desk,Medium,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,Medium,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Medium,Positive
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
My complaint was taken seriously and resolved within 22 days.,Complaint,Student Affairs,Low,Positive
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,High,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
Wi-Fi in the hostel has not been working for 26 days.,Hostel,Hostel Department,Medium,Negative
Revaluation result is pending for over 24 months.,Examination,Examination Department,High,Negative
What are the library timings on weekends?,General,Help Desk,Low,Neutral
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
The finance department is not responding to my refund request.,Finance,Finance Department,Medium,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
The fee receipt is not downloadable from the portal.,Finance,Finance Department,High,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
"My refund was processed within 9 working days, thank you.",Finance,Finance Department,Medium,Positive
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Medium,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Medium,Positive
There has been no water supply in the hostel for 3 days.,Hostel,Hostel Department,High,Negative
How do I download my admit card from the portal?,Examination,Examination Department,Low,Neutral
My email ID was not created even after 25 weeks of registration.,General,Help Desk,High,Negative
"My admit card was generated on time, thank you.",Examination,Examination Department,Medium,Positive
Where is the medical centre located on campus?,General,Help Desk,Low,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,Medium,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,Medium,Negative
Where is the medical centre located on campus?,General,Help Desk,Low,Neutral
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,Medium,Negative
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,Medium,Negative
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,Medium,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Medium,Positive
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Medium,Neutral
What is the academic calendar for this year?,General,Help Desk,Low,Neutral
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
"My refund was processed within 25 working days, thank you.",Finance,Finance Department,Medium,Positive
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
The campus facilities have improved a lot this year.,General,Help Desk,Medium,Positive
What documents are required for the admission process?,Admission,Admission Department,Low,Neutral
When will campus placements begin this year?,Placement,Placement Cell,Medium,Neutral
How do I download my admit card from the portal?,Examination,Examination Department,Low,Neutral
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
My scholarship application has been pending for 29 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
When will semester results be declared?,Examination,Examination Department,Low,Neutral
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
What are the library timings on weekends?,General,Help Desk,Low,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
"My refund was processed within 19 working days, thank you.",Finance,Finance Department,Low,Positive
My seat allotment was updated within 19 hours as promised.,Admission,Admission Department,Low,Positive
What clubs and societies are active this semester?,General,Help Desk,Low,Neutral
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,High,Negative
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
How do I check my admission status online?,Admission,Admission Department,Low,Neutral
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,Medium,Negative
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
Is there a training program before placements?,Placement,Placement Cell,Low,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
My seat allotment was updated within 12 hours as promised.,Admission,Admission Department,Low,Positive
The exam timetable was changed without prior notice.,Examination,Examination Department,Medium,Negative
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,High,Negative
How do I download my fee receipt from the portal?,Finance,Finance Department,Low,Neutral
The exam timetable was changed without prior notice.,Examination,Examination Department,High,Negative
My email ID was not created even after 25 weeks of registration.,General,Help Desk,Medium,Negative
My complaint was taken seriously and resolved within 8 days.,Complaint,Student Affairs,Medium,Positive
My admission application has been pending for 9 weeks with no update.,Admission,Admission Department,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Medium,Positive
What is the academic calendar for this year?,General,Help Desk,Low,Neutral
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
The library is closed during exam preparation time.,General,Help Desk,Medium,Negative
Is there a grace mark policy in the university?,Examination,Examination Department,Medium,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,Medium,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,Medium,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
When does hostel allotment happen for new students?,Hostel,Hostel Department,Low,Neutral
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
"I received my ID card within 22 days, thank you.",General,Help Desk,Low,Positive
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Low,Neutral
My backlog exam date clashes with my regular exam schedule.,Examination,Examination Department,Medium,Negative
My application was rejected without any reason given.,Admission,Admission Department,Medium,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
I have not received my offer letter even after 4 months of selection.,Placement,Placement Cell,High,Negative
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,Medium,Negative
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Medium,Positive
My grievance has been ignored by the department for 16 weeks.,Complaint,Student Affairs,High,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,High,Negative
What are the transport routes available for students?,General,Help Desk,Medium,Neutral
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Medium,Positive
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Low,Neutral
What is the procedure for exam form correction?,Examination,Examination Department,Medium,Neutral
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The notice board has outdated information.,General,Help Desk,Medium,Negative
The student affairs office handled my case professionally.,Complaint,Student Affairs,Medium,Positive
My ID card has not been issued even after 2 weeks of joining.,General,Help Desk,Medium,Negative
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Medium,Neutral
Is there any concession for single-parent students?,Finance,Finance Department,Medium,Neutral
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
Is laundry service available in the hostel?,Hostel,Hostel Department,Low,Neutral
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Low,Neutral
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Low,Positive
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
"My refund was processed within 26 working days, thank you.",Finance,Finance Department,Low,Positive
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
My seat allotment was updated within 19 hours as promised.,Admission,Admission Department,Low,Positive
Wi-Fi in the hostel has not been working for 5 days.,Hostel,Hostel Department,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The fee receipt is not downloadable from the portal.,Finance,Finance Department,High,Negative
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
What is the fee structure for international students?,Finance,Finance Department,Medium,Neutral
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Low,Neutral
Is there a grace mark policy in the university?,Examination,Examination Department,Low,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
When will semester results be declared?,Examination,Examination Department,Low,Neutral
My scholarship application has been pending for 7 months with no update.,Scholarship,Scholarship Cell,High,Negative
When does hostel allotment happen for new students?,Hostel,Hostel Department,Medium,Neutral
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
Is there any concession for single-parent students?,Finance,Finance Department,Medium,Neutral
The staff at the admission office was very helpful.,Admission,Admission Department,Low,Positive
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
Revaluation result is pending for over 3 months.,Examination,Examination Department,Medium,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Medium,Positive
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Medium,Positive
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Low,Neutral
Is there an EMI option available for fee payment?,Finance,Finance Department,Medium,Neutral
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,Medium,Negative
"I received my ID card within 2 days, thank you.",General,Help Desk,Low,Positive
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,Medium,Negative
I have not received my offer letter even after 7 months of selection.,Placement,Placement Cell,Medium,Negative
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,Medium,Negative
Admission office is not responding to my emails for 30 days.,Admission,Admission Department,High,Negative
